Interval Duration,Data Packets,Min Data Gap
-0.23808923073820445,-0.23800178218407234,-0.2114136045215587
-0.23801999899706294,-0.23800178218407234,-0.1811812399542437
-0.23812157799804853,-0.23800178218407234,-0.2256963540522797
-0.23800525302733958,-0.23800178218407234,-0.17809263622277213
-0.23807374160289824,-0.23800178218407234,-0.2320860051581285
-0.2380099467047051,-0.2118218681030498,-0.17897509443176401
-0.23802790002062824,-0.23800178218407234,-0.18484180733969163
-0.2381257240797214,-0.23800178218407234,-0.231922586971278
-0.23802958192168422,-0.23800178218407234,-0.17640942889821318
-0.2380907952973263,-0.23800178218407234,-0.24731658017258112
-0.23809247719838228,-0.23800178218407234,-0.22625197588757098
-0.23814215195050076,-0.23800178218407234,-0.2164142010391795
-0.2381392184021473,-0.23800178218407234,-0.22380070308481553
-0.2380851628844877,-0.23800178218407234,-0.22546756859068898
-0.2380738198308543,-0.23800178218407234,-0.2255329358654292
